Dialogue_ID,split_group,Season,Episode,StartTime,EndTime,Speaker,Utterance,Emotion,Strategy,Utterance_ID,Frame_1,Frame_2,Frame_3,Frame_4,Frame_5,Frame_6,Frame_7,Frame_8,Frame_9,Frame_10,Frame_11,Frame_12,Audio
0,0,1,1,"00:00:54,097","00:00:55,113",Client,I told you.,sadness,Open question,0,,,,,,,,,,,,,
0,1,1,1,"00:00:56,651","00:00:59,719",Client,That you'd be sorry you ever encouraged me to cry here.,sadness,Communication Skills,2,,,,,,,,,,,,,
0,2,1,1,"00:01:03,404","00:01:05,206",Client,"You didn't expect it to be like this, I bet.",sadness,Open question,4,,,,,,,,,,,,,
0,3,1,1,"00:01:09,711","00:01:20,131",Client,"You know what? It's disappointing. I thought I'd feel better, relieved. I thought it'd be a lot more fun.",sadness,Open question,6,,,,,,,,,,,,,
0,4,1,1,"00:01:21,544","00:01:33,561",Client,"No, it's horrible. I don't know if I'm able to talk today, Paul. I shouldn't have come. I should have just. I should have just called it off. I'm sorry.",sadness,Open question,12,,,,,,,,,,,,,
0,5,1,1,"00:01:40,159","00:01:41,313",Client,Yeah.,sadness,Communication Skills,17,,,,,,,,,,,,,
0,7,1,1,"00:01:49,563","00:01:52,416",Client,"You know, I've been sitting out in the park about four hours.",sadness,Communication Skills,20,,,,,,,,,,,,,
0,8,1,1,"00:01:53,868","00:02:26,430",Client,"Yeah. I wanted to call it off, the session, but... I wasn't sure i'd be able to make it home alone. I took a cab here. My car's at home. God, at least I think it is. Yeah yeah, my car's at home. My god, it's freezing. I came this close to knocking on your door and asking for a sweater.",sadness,Open question,22,,,,,,,,,,,,,
0,9,1,1,"00:02:27,749","00:02:46,013",Client,"I don't know. Maybe 5:00 or 6:00,I can't remember. It was still dark. I waited for the sun to come up. I've never waited this long for a sunrise, except maybe on a camping trip in fifth grade. Thank you.",depression,Open question,32,,,,,,,,,,,,,
1,0,1,1,"00:03:03,823","00:03:04,980",Client,You know what I did?,sadness,Open question,0,,,,,,,,,,,,,
1,1,1,1,"00:03:06,658","00:03:41,471",Client,"I held my cell phone, and I watched the minutes go by. It felt like forever for one minute to turn into the next. I thought to myself, how stupiis this, dying on the street like roadkill outside your therapist's office? I'm sorry, Paul. I should have called it off.I shouldn't have come.",sadness,Approval,2,,,,,,,,,,,,,
